# TGAutoSign 全文翻译真相源（中文<TAB>英文）
群	Group
补	M
 群	 Group
 补	 M
中文	中文
保存	Save
全部	All
关闭	Close
冻结	Frozen
删除	Delete
加入	Add
取消	Cancel
唤醒	Wake
回调	Callback
夜间	Dark
完成	Done
定时	Timer
导出	Export
已签	Signed
已补	Made up
帮助	Help
待签	Pending
待补	To make up
忽略	Skip
指令	Command
排序	Sort
操作	Actions
放弃	Gave up
数据	Data
日志	Logs
日间	Light
暂停	Paused
未知	unknown
添加	Add
清空	Clear
目标	Targets
确定	OK
系统	System
维护	Maintain
编辑	Edit
自动	Auto
自检	Self-check
设置	Settings
账号	Account
过滤	Filter
返回	Back
退避	Backing off
重试	Retry
错过	Missed
频道	Channel
 冻结	 Frozen
 出品	
 定时	 Timer
 已签	 Signed
 待签	 Pending
▍外观	APPEARANCE
▍帮助	HELP
▍操作	ACTIONS
▍数据	DATA
▍目标	TARGETS
▍签到	SIGNING
▍维护	MAINTENANCE
▍诊断	DIAGNOSTICS
▍通知	NOTIFICATIONS
已保存	Saved
已停用	Disabled
已冻结	Frozen
已删除	Deleted
已加入	Added
已忽略	Skipped
已排除	Blocked
已放弃	Gave up
已跳过	Skipped
已过期	Expired
已错过	Missed
待确认	Unconfirmed
按名称	By name
无计划	No plan
明日排	Tomorrow
暂停中	Paused
未到点	Not due yet
目标:	Target: 
自诊断	Self-check
诊断包	Diagnostics bundle
账号1	Account 1
账号2	Account 2
账号3	Account 3
账号4	Account 4
账号5	Account 5
退避中	Retrying later
重试中	Retrying
 已停用	 Disabled
 已排除	 Blocked
 已放弃	 Gave up
 重试中	 Retrying
[回调]	[Callback]
[指令]	[Command]
▍待确认	PENDING
一键添加	Quick add
三项齐全	all three present
个条目）	 entries)
今日已签	Signed today
今日待补	To make up today
今日计划	Today's plan
使用教程	Guide
保存设置	Save settings
全部功能	All features
全部目标	All targets
删除目标	Remove target
加入失败	Could not add
加入群组	Join group
加载更多	Load more
只看重要	Important only
只看错误	Errors only
回到最新	Back to latest
回调按钮	Callback button
复制文案	Copy text
复制目标	Copy targets
学习行为	Learning
定时未开	Timer off
定时签到	Timer
宿主包 	Host package 
导入配置	Import config
导出日志	Export logs
导出配置	Export config
当前账号	Current account
待确认（	Pending (
快速上手	Quick start
忽略今天	Skip today
怎么导入	How to import
按钮学习	Button learning
捕获目标	Capture target
排除管理	Blocklist
数据备份	Data & backup
时间倒序	Newest first
时间正序	Oldest first
暂无目标	No targets
未签置顶	Unsigned first
条目操作	Entry actions
检查更新	Check updates
添加目标	Add target
清空配置	Clear config
目标列表	Targets
目标管理	Target manager
目标过滤	Target filter
直接清空	Clear now
确认已签	Confirm signed
确认模板	Confirm preset
移除条目	Delete entry
立即签到	Sign now
签到指令	Sign-in command
签到时间	Signing window
编辑目标	Edit target
网络学习	Network learning
补签列表	Make-up signs
补签截止	Make-up deadline
补签未开	Make-up off
账号一览	Accounts
跟随系统	System
运行日志	Logs
错开间隔	Spacing interval
错过补签	Missed make-up
预设模板	Presets
（当前）	 (current)
  间隔=	  interval=
 使用教程	 Guide
⑧ 多账号	8. Multiple accounts
▍全部功能	ALL FEATURES
▍学习行为	LEARNING
▍捕获目标	▍ Capture target
▍排除规则	BLOCK RULES
▍签到核心	CORE
上手·排障	Getting started · fixes
全部签到（	Sign all (
关键词过滤	Keyword filter
分享本模块	Share module
到下载目录	To Downloads
只通知失败	Failures only
合并或覆盖	Merge or replace
启用该账号	Enable this account
回调调试台	Callback console
处理待确认	Review pending
已全部加载	All loaded
已忽略今天	Skipped today
已重新发送	Resent
当前账号：	Current account: 
推荐给朋友	Tell a friend
日志已清空	Logs cleared
目标不存在	Target not found
目标列表（	Targets (
目标：全部	Target: all
签全部账号	Sign all accounts
给其它账号	To other accounts
群 {0}	Group {0}
设置已保存	Settings saved
诊断与更新	Diagnostics & updates
账号{0}	Account {0}
账号一览（	Accounts (
 · 定时关	 · timer off
 · 补签关	 · make-up off
